"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.728819810E-1,-1.200921535E-1,4.364175797E-1,2.817580700E-1,5.331698033E-1
6.808470680E-1,-7.007205486E-2,4.025316238E-1,6.781849861E-1,7.917554398E-1
6.888426740E-1,-1.099219918E0,2.247037888E-1,1.179623842E0,1.627970709E0
6.968687970E-1,1.346313953E-2,6.303796768E-1,-3.742189407E-1,7.332118443E-1
7.048644020E-1,-1.589075327E-1,1.955890656E-1,4.648126364E-1,5.287319486E-1
7.128600080E-1,-2.132773399E-2,1.846075058E-1,9.429650307E-1,9.611024152E-1
7.208250960E-1,4.233360291E-3,8.015823364E-2,7.109504938E-1,7.154675873E-1
7.287901840E-1,6.609058380E-2,-2.301282883E-1,4.573537111E-1,5.162358099E-1
7.367552720E-1,2.507007122E-1,-4.395780563E-1,4.133920670E-1,6.534314928E-1
7.447508770E-1,4.972193241E-1,-6.267776489E-1,5.568720102E-1,9.747736728E-1
7.527464820E-1,6.550609469E-1,-8.018913269E-1,4.770325422E-1,1.140041486E0
7.607420880E-1,7.608774304E-1,-9.244556427E-1,-7.091176510E-2,1.199408678E0
7.687376930E-1,7.499799132E-1,-9.916763306E-1,-6.661962271E-1,1.410570533E0
7.767027810E-1,5.304800868E-1,-9.068346024E-1,-7.935022116E-1,1.316587968E0
7.846373520E-1,3.413209915E-1,-6.897583008E-1,-6.928933859E-1,1.035551919E0
7.926329570E-1,2.558570504E-1,-5.849933624E-1,-5.186797380E-1,8.226230820E-1
8.006285630E-1,2.134811878E-1,-4.636411667E-1,-4.536558390E-1,6.828916233E-1
8.086241680E-1,2.541876435E-1,-3.473072052E-1,-3.734686375E-1,5.698354816E-1
8.166197740E-1,2.677703500E-1,-2.330808640E-1,-1.692115068E-1,3.932685895E-1
8.246153790E-1,2.843634486E-1,-1.191616058E-1,-1.488324404E-1,3.423640672E-1
8.326109840E-1,2.715367079E-1,-3.541183472E-2,-5.993330479E-2,2.803180030E-1
8.406065900E-1,3.208721280E-1,-8.889198303E-3,-2.955603600E-2,3.223530668E-1
8.486021950E-1,3.003160357E-1,8.163261414E-2,1.892006397E-2,3.117877064E-1
8.565978010E-1,1.888185740E-1,2.152366638E-1,2.342482805E-1,3.699344972E-1
8.645934060E-1,-8.361577988E-3,3.675622940E-1,3.423032761E-1,5.023380224E-1
8.725890120E-1,-2.293075323E-1,5.255308151E-1,1.905934811E-1,6.042271568E-1
8.805541000E-1,-3.720824718E-1,5.902414322E-1,8.606457710E-2,7.030202170E-1
8.885497050E-1,-4.629037380E-1,6.235876083E-1,5.362153053E-3,7.766402826E-1
8.965758280E-1,-4.534301758E-1,6.424207687E-1,-1.304585934E-1,7.970713977E-1
9.045714340E-1,-3.223482370E-1,5.128240585E-1,-7.473897934E-2,6.103137029E-1
9.125670390E-1,-2.098807096E-1,3.524284363E-1,6.575524807E-2,4.154268499E-1
9.205321270E-1,-1.442205906E-1,2.769870758E-1,1.138283014E-1,3.323827630E-1
9.285277320E-1,-1.346437931E-1,1.836128235E-1,1.760776043E-1,2.878297113E-1
9.365538560E-1,-1.664847136E-1,5.448150635E-2,2.715734243E-1,3.231679427E-1
9.445494610E-1,-2.152078152E-1,-8.616065979E-2,3.385709524E-1,4.103271290E-1
9.525450660E-1,-2.626594305E-1,-2.393817902E-1,3.132479191E-1,4.737276398E-1
9.605101540E-1,-2.722362280E-1,-2.872657776E-1,2.079029083E-1,4.470545941E-1
9.685057600E-1,-1.953682899E-1,-2.569456100E-1,3.948926926E-2,3.251910479E-1
9.765318830E-1,-9.922957420E-2,-1.953430176E-1,-1.201162338E-1,2.498665895E-1
9.845274880E-1,6.100022793E-2,-1.240119934E-1,-2.281328440E-1,2.667294450E-1
9.925230940E-1,3.051916361E-1,-1.219434738E-1,-1.262255907E-1,3.520582981E-1
1.000488182E0,4.508018494E-1,-1.531496048E-1,-7.632374763E-3,4.761673676E-1
1.008483787E0,4.665095806E-1,-2.439136505E-1,1.248832941E-1,5.410368701E-1
1.016509910E0,4.395275712E-1,-3.727741241E-1,3.547799587E-1,6.767672071E-1
1.024505516E0,3.592413664E-1,-5.303630829E-1,3.713036776E-1,7.404091977E-1
1.032501121E0,3.475781679E-1,-6.472930908E-1,1.745719910E-1,7.551650868E-1
1.040466209E0,3.211966157E-1,-6.732244492E-1,4.465997219E-2,7.472569424E-1
1.048461815E0,1.033005714E-1,-4.980955124E-1,8.988702297E-2,5.165750908E-1
1.056487938E0,-5.578136444E-2,-2.059812546E-1,1.482399702E-1,2.598363458E-1
1.064483543E0,-1.209390163E-1,9.039688110E-2,1.818724871E-1,2.363798708E-1
1.072479149E0,-6.087553501E-2,3.478899002E-1,3.072690964E-2,3.545100230E-1
1.080444236E0,-2.057552338E-4,5.569896698E-1,-2.792525291E-2,5.576892991E-1
1.088439842E0,1.180059910E-1,7.125434875E-1,3.138589859E-2,7.229306400E-1
1.096465965E0,1.653170586E-1,8.397397995E-1,4.148340225E-2,8.568626106E-1
1.104461570E0,2.206874490E-1,8.705024719E-1,1.162786484E-1,9.055375353E-1
1.112457176E0,2.111296058E-1,9.225187302E-1,1.804374456E-1,9.634179725E-1
1.120422264E0,9.902453423E-2,8.810338974E-1,1.592891216E-1,9.007772261E-1
1.128448387E0,-2.920043468E-2,8.012781143E-1,2.293167114E-1,8.339576944E-1
1.136443992E0,-8.515667915E-2,6.808872223E-1,2.777309418E-1,7.402658614E-1
1.144439598E0,-3.031790257E-2,4.719963074E-1,2.518879175E-1,5.358611876E-1
1.152435203E0,-7.978761196E-2,3.566246033E-1,2.905763388E-1,4.668851886E-1
1.160430809E0,-1.142081022E-1,2.174491882E-1,2.978563309E-1,3.860648053E-1
1.168426414E0,-6.909787655E-2,1.047506332E-1,2.472556829E-1,2.772770897E-1
1.176422020E0,-1.168847084E-2,-1.245689392E-2,1.475644112E-1,1.485498233E-1
1.184417625E0,1.511454582E-2,-1.150503159E-1,8.520543575E-2,1.439617691E-1
1.192413231E0,1.072671413E-1,-1.671276093E-1,1.082543135E-1,2.261788535E-1
1.200378318E0,-8.224320412E-2,-3.147029877E-1,-1.219511032E-3,3.252743492E-1
1.208373924E0,5.390954018E-2,-4.524526596E-1,5.088496208E-2,4.584854710E-1
1.216400047E0,2.234806418E-1,-6.307516098E-1,-4.867005348E-2,6.709396133E-1
1.224395652E0,3.956987858E-1,-7.250528336E-1,-9.877669811E-2,8.318869975E-1
1.232391258E0,3.883498907E-1,-7.233953476E-1,-9.956216812E-2,8.270605128E-1
1.240325828E0,2.631980777E-1,-6.760234833E-1,3.711819649E-2,7.264012242E-1
1.248321434E0,3.631520867E-1,-4.779481888E-1,5.483627319E-3,6.002865811E-1
1.256286522E0,3.565617204E-1,-1.099586487E-1,-2.347794771E-1,4.408498245E-1
1.264282127E0,2.811654806E-1,2.960939407E-1,-3.862749338E-1,5.620800421E-1
1.272277732E0,2.393109202E-1,6.898145676E-1,-3.314816952E-1,8.018690469E-1
1.280303856E0,1.595336199E-1,1.035092354E0,-2.559369802E-1,1.078133060E0
1.288299461E0,-6.079554558E-3,1.284447670E0,-3.230292797E-1,1.324458642E0
1.296264549E0,-1.356053352E-2,1.253720284E0,-1.675606966E-1,1.264940720E0
1.304260154E0,8.215272427E-2,1.017290115E0,2.001777887E-1,1.040047785E0
1.312225242E0,1.887065768E-1,7.069120407E-1,4.907408953E-1,8.810002450E-1
1.320251365E0,9.342443943E-2,4.326086044E-1,7.791144848E-1,8.960455964E-1
1.328246971E0,-7.578170300E-2,2.227697372E-1,8.626375198E-1,8.941547478E-1
1.336212059E0,-1.666299105E-1,8.691596985E-2,9.038503170E-1,9.231821643E-1
1.344146629E0,-1.860390902E-1,-4.415893555E-2,8.635015488E-1,8.844181587E-1
1.352142234E0,-6.894719601E-2,-2.562656403E-1,8.908174038E-1,9.295060199E-1
1.360168357E0,9.951782227E-2,-4.273347855E-1,8.597114086E-1,9.652059479E-1
1.368163963E0,1.073117256E-1,-4.916629791E-1,6.470515728E-1,8.197097226E-1
1.376129051E0,1.644855738E-1,-5.317659378E-1,4.346854687E-1,7.062449811E-1
1.384124656E0,3.268854022E-1,-6.468925476E-1,3.115572929E-1,7.889182347E-1
