"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.379602800E0,-3.920513391E-2,-7.052111626E-2,4.839611053E-2
1.389602800E0,-4.380875826E-2,-8.334589005E-2,6.009864807E-2
1.399602800E0,-4.380875826E-2,-8.334589005E-2,6.009864807E-2
1.409602800E0,-3.092426062E-2,-6.849598885E-2,1.049976349E-1
1.419602800E0,-3.964848816E-2,-5.358481407E-2,1.355495453E-1
1.429602800E0,-2.349705994E-2,-2.870297432E-2,1.599397659E-1
1.439602800E0,-2.779674530E-2,-8.803129196E-3,1.610651016E-1
1.449602800E0,-2.779674530E-2,-8.803129196E-3,1.610651016E-1
1.459602800E0,-2.779674530E-2,-8.803129196E-3,1.610651016E-1
1.469602800E0,-2.779674530E-2,-8.803129196E-3,1.610651016E-1
1.479602800E0,-3.203673661E-2,1.444077492E-2,-1.754856110E-2
1.489602800E0,-3.612570465E-2,7.565975189E-3,-1.067771912E-1
1.499602800E0,-4.663954675E-2,3.930568695E-3,-6.643962860E-2
1.509602800E0,-4.663954675E-2,3.930568695E-3,-6.643962860E-2
1.519602800E0,-4.663954675E-2,3.930568695E-3,-6.643962860E-2
1.529602800E0,4.266857356E-2,-4.691934586E-2,2.847843170E-1
1.539602800E0,7.597552240E-2,-1.891756058E-2,7.951736450E-2
1.549602800E0,7.597552240E-2,-1.891756058E-2,7.951736450E-2
1.559602800E0,-2.069246769E-2,-1.427793503E-2,-1.870288849E-1
1.569602800E0,-2.069246769E-2,-1.427793503E-2,-1.870288849E-1
1.579602800E0,-8.230322599E-2,-9.128785133E-2,1.097040176E-1
1.589602800E0,-5.724951625E-2,-7.265686989E-2,2.804594040E-1
1.599602800E0,-5.724951625E-2,-7.265686989E-2,2.804594040E-1
1.609602800E0,-5.724951625E-2,-7.265686989E-2,2.804594040E-1
1.619602800E0,2.418969572E-2,-3.539562225E-3,1.164836884E-1
1.629602800E0,1.809599996E-2,-9.937286377E-3,6.928443909E-2
1.639602800E0,1.462712884E-2,-2.925968170E-2,5.821704865E-2
1.649602800E0,1.462712884E-2,-2.925968170E-2,5.821704865E-2
1.659602800E0,1.528163254E-2,-4.359960556E-2,4.501914978E-2
1.669602800E0,3.310620785E-3,-4.838800430E-2,5.698966980E-2
1.679602800E0,-3.520160913E-3,-6.297111511E-2,8.972263336E-2
1.689602800E0,-2.152706683E-2,-6.839609146E-2,1.079759598E-1
1.699602800E0,-3.659145534E-2,-6.716680527E-2,1.284751892E-1
1.709602800E0,-3.659145534E-2,-6.716680527E-2,1.284751892E-1
