"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.319297640E-1,-3.615468740E-2,-7.105779648E-2,2.409172058E-2,8.328735115E-2
7.399253690E-1,-4.292439669E-2,-4.197120667E-2,5.706501007E-2,8.282814374E-2
7.479209740E-1,-3.809478879E-2,-2.184343338E-2,8.062553406E-2,9.180863389E-2
7.559470980E-1,-4.075121880E-2,-1.117277145E-2,1.042156219E-1,1.124561626E-1
7.638816680E-1,-1.965131611E-2,-7.343292236E-4,1.373195648E-1,1.387204972E-1
7.719077910E-1,-2.266570181E-2,9.608745575E-3,1.344842911E-1,1.367190059E-1
7.799033960E-1,-2.052616328E-2,1.500439644E-2,1.316080093E-1,1.340414988E-1
7.878990020E-1,-2.538193017E-2,8.021831512E-3,1.070775986E-1,1.103367766E-1
7.958640900E-1,-1.087652892E-2,1.059746742E-2,1.040916443E-1,1.051935150E-1
8.038902130E-1,-1.555082202E-2,-5.905389786E-3,1.107025146E-1,1.119452922E-1
8.118553010E-1,-1.084244251E-2,-8.457899094E-3,1.124143600E-1,1.132522978E-1
8.198509060E-1,-2.062498033E-2,-1.098871231E-2,9.976577759E-2,1.024663456E-1
8.278770290E-1,-2.092272043E-2,-3.251099586E-2,9.913158417E-2,1.064039288E-1
8.358726350E-1,-2.117890865E-2,-2.298474312E-2,9.368991852E-2,9.876560849E-2
8.438682400E-1,-1.903641969E-2,-2.043747902E-2,9.548568726E-2,9.948664380E-2
8.518943630E-1,-1.204571873E-2,-2.966666222E-2,1.045160294E-1,1.093106151E-1
8.598594510E-1,-2.416251600E-2,-1.960086823E-2,1.064023972E-1,1.108579782E-1
8.678245390E-1,-1.713294536E-2,-2.154827118E-2,9.391403198E-2,9.786578161E-2
8.758201440E-1,-1.260806620E-2,4.284381866E-4,1.053619385E-1,1.061144899E-1
8.838462670E-1,-1.056283712E-3,-1.541852951E-3,1.000480652E-1,1.000655205E-1
8.918418730E-1,-8.832618594E-3,1.075315475E-2,1.210432053E-1,1.218404819E-1
8.998374780E-1,-9.434416890E-3,1.354932785E-2,1.109352112E-1,1.121570933E-1
9.078330840E-1,-1.076050103E-4,2.347064018E-2,1.247568130E-1,1.269454408E-1
9.158286890E-1,-1.208500937E-2,2.149581909E-2,1.146583557E-1,1.172802465E-1
9.238242950E-1,4.763487726E-3,1.479434967E-2,1.165475845E-1,1.175793479E-1
9.318199000E-1,9.478628635E-5,1.298069954E-2,1.160697937E-1,1.167934268E-1
9.398155060E-1,7.306706160E-3,1.153564453E-2,1.109008789E-1,1.117383730E-1
9.477805940E-1,1.409525424E-2,1.733851433E-2,7.701587677E-2,8.019192943E-2
9.558067170E-1,2.049646154E-2,4.339933395E-3,2.885627747E-2,3.565984726E-2
9.637412870E-1,1.724191755E-2,-5.636692047E-3,-2.632045746E-2,3.196595844E-2
9.717674100E-1,1.877217367E-2,-1.505351067E-2,-4.064941406E-2,4.723745920E-2
9.797324980E-1,1.126768440E-2,-4.322052002E-2,2.414035797E-2,5.077135950E-2
9.876975860E-1,-1.010861248E-2,-6.432604790E-2,1.200256348E-1,1.365510069E-1
9.957237090E-1,-2.373842150E-2,-6.201219559E-2,2.157773972E-1,2.257629513E-1
1.003688797E0,-2.732342482E-2,-7.272291183E-2,2.825231552E-1,2.930094276E-1
1.011684402E0,-9.702127427E-3,-6.320452690E-2,2.890672684E-1,2.960554494E-1
1.019649490E0,-2.060182393E-3,-5.705833435E-2,2.354965210E-1,2.423190238E-1
1.027645096E0,2.791948617E-3,-4.406380653E-2,1.267700195E-1,1.342387868E-1
1.035610183E0,-2.142891288E-3,-2.374196053E-2,4.202365875E-2,4.831418599E-2
1.043636306E0,-1.434798539E-2,-1.250028610E-2,-3.301525116E-2,3.810680578E-2
1.051601394E0,-3.344160691E-2,9.611129761E-3,-7.898235321E-2,8.630716660E-2
1.059597000E0,-5.233816057E-2,4.137754440E-3,-6.000614166E-2,7.973168192E-2
1.067623123E0,-6.626468152E-2,1.895046234E-2,-1.125593185E-1,1.319838181E-1
1.075618728E0,-7.745774835E-2,1.058316231E-2,2.901935577E-2,8.338962234E-2
1.083553299E0,-5.966340750E-2,1.450395584E-2,1.994142532E-1,2.086531364E-1
1.091579422E0,-5.153708905E-2,-1.326441765E-2,4.079675674E-1,4.114238112E-1
1.099544510E0,-2.746809274E-2,-3.780269623E-2,3.886594772E-1,3.914584642E-1
